iter	Logloss
0	0.6927094979
1	0.6921645209
2	0.691766892
3	0.6917585086
4	0.6915104327
5	0.6914496784
6	0.6911342433
7	0.690754784
8	0.6902797536
9	0.6899600145
10	0.6895383368
11	0.6890298707
12	0.6886404224
13	0.68827692
14	0.6878501359
15	0.6874348879
16	0.6870016325
17	0.6866105742
18	0.6861876006
19	0.6859347899
20	0.6855734202
21	0.6852568566
22	0.6849508587
23	0.684472625
24	0.6841590556
25	0.683740319
26	0.683430678
27	0.6831523962
28	0.6827194758
29	0.6825081081
30	0.6822406675
31	0.6822149158
32	0.6822146885
33	0.6818444513
34	0.6814401492
35	0.6811218215
36	0.6807980108
37	0.6804746728
38	0.6804698799
39	0.6800976647
40	0.6800959317
41	0.6797282055
42	0.6793638474
43	0.6790028076
44	0.6786705188
45	0.6783533808
46	0.678110826
47	0.6777306381
48	0.6773930045
49	0.6770843444
50	0.6766995287
51	0.6763119551
52	0.6762442691
53	0.6762441017
54	0.6760305301
55	0.6756575762
56	0.6752336279
57	0.6752110399
58	0.6750231286
59	0.6747008139
60	0.6744534888
61	0.6741703772
62	0.6738446385
63	0.6735143692
64	0.6732338733
65	0.672916486
66	0.6726823692
67	0.6723371365
68	0.6722054106
69	0.6719131391
70	0.671597855
71	0.6713961802
72	0.6711030639
73	0.6707712076
74	0.6705139202
75	0.6705033985
76	0.670256687
77	0.6699497577
78	0.6697165088
79	0.6694455764
80	0.6691885511
81	0.6689512409
82	0.6686243037
83	0.6683204402
84	0.6680774693
85	0.6678193868
86	0.6675050328
87	0.6671223159
88	0.6667907302
89	0.6665581446
90	0.6662847891
91	0.6662840657
92	0.6660784272
93	0.666071089
94	0.6658053837
95	0.6654903808
96	0.6651560758
97	0.6649397038
98	0.6646515728
99	0.6642924642
100	0.6639900273
101	0.6638106656
102	0.6634842307
103	0.6632225374
104	0.662939385
105	0.6625826092
106	0.6622478957
107	0.6620002074
108	0.6616932758
109	0.6614449333
110	0.6611958809
111	0.6609110517
112	0.6606464557
113	0.6604022395
114	0.6601461645
115	0.6601002003
116	0.6598223627
117	0.6595628244
118	0.6592860148
119	0.6589461318
120	0.6587055408
121	0.6584366304
122	0.6581933924
123	0.6580834595
124	0.6579133985
125	0.657740477
126	0.65749879
127	0.6572069757
128	0.6569591145
129	0.6566626027
130	0.6564051475
131	0.6561764643
132	0.6559132006
133	0.6556919875
134	0.6556843285
135	0.6554531278
136	0.6551874822
137	0.6549743092
138	0.6547410495
139	0.6545523708
140	0.654237596
141	0.6540315134
142	0.653782329
143	0.653512978
144	0.6532817734
145	0.6530371506
146	0.6529012365
147	0.6526967898
