iter	Passed	Remaining
0	57	57408
1	60	30043
2	64	21330
3	65	16367
4	69	13772
5	71	11788
6	73	10489
7	76	9495
8	80	8850
9	84	8355
10	88	7996
11	91	7565
12	94	7162
13	96	6822
14	99	6552
15	103	6340
16	105	6126
17	108	5946
18	111	5758
19	114	5609
20	117	5474
21	121	5413
22	124	5275
23	127	5198
24	130	5084
25	133	4993
26	135	4887
27	138	4794
28	140	4702
29	143	4637
30	146	4567
31	147	4471
32	149	4377
33	152	4322
34	155	4275
35	157	4223
36	160	4164
37	162	4114
38	165	4070
39	167	4026
40	169	3956
41	172	3924
42	174	3890
43	177	3865
44	180	3833
45	184	3821
46	187	3800
47	190	3778
48	193	3755
49	196	3735
50	199	3719
51	203	3705
52	205	3676
53	206	3625
54	209	3596
55	212	3574
56	214	3548
57	216	3509
58	218	3483
59	222	3480
60	224	3457
61	227	3435
62	229	3416
63	231	3392
64	234	3372
65	236	3349
66	239	3335
67	241	3314
68	245	3308
69	248	3296
70	251	3284
71	253	3272
72	257	3266
73	261	3272
74	264	3260
75	266	3242
76	269	3229
77	272	3221
78	275	3207
79	278	3205
80	281	3193
81	283	3177
82	287	3172
83	290	3167
84	293	3156
85	295	3142
86	298	3132
87	302	3130
88	305	3131
89	308	3122
90	311	3112
91	313	3090
92	317	3095
93	319	3078
94	322	3073
95	325	3068
96	329	3063
97	331	3054
98	334	3047
99	338	3042
100	341	3040
101	345	3039
102	348	3038
103	353	3044
104	357	3044
105	360	3038
106	363	3030
107	365	3019
108	368	3009
109	371	3006
110	374	3002
111	377	2993
112	379	2981
113	382	2972
114	385	2964
115	388	2958
116	392	2959
117	395	2956
118	398	2948
119	401	2943
120	404	2936
121	407	2932
122	409	2923
123	414	2929
124	418	2931
125	421	2926
126	424	2921
127	428	2922
128	432	2922
129	436	2923
130	441	2928
131	445	2932
132	449	2930
133	452	2925
134	454	2914
135	458	2912
136	461	2908
137	464	2899
138	467	2895
139	471	2897
140	474	2891
141	478	2891
142	481	2884
143	483	2875
144	487	2873
145	490	2871
146	493	2865
147	496	2857
148	499	2854
149	502	2848
150	505	2839
151	507	2832
152	511	2830
153	514	2826
154	517	2820
155	521	2819
156	524	2816
157	526	2807
158	529	2803
159	533	2799
160	535	2792
161	539	2789
162	542	2783
163	545	2780
164	548	2774
165	551	2771
166	554	2764
167	556	2757
168	559	2748
169	562	2745
170	565	2739
171	568	2735
172	571	2730
173	574	2727
174	576	2719
175	579	2713
176	581	2705
177	585	2704
178	588	2700
179	591	2695
180	595	2694
181	598	2689
182	601	2683
183	604	2678
184	607	2676
185	611	2675
186	613	2666
187	616	2664
188	620	2663
189	624	2664
190	628	2661
191	632	2660
192	635	2655
193	638	2654
194	641	2648
195	644	2645
196	647	2641
197	651	2637
198	654	2632
199	657	2628
200	661	2627
201	663	2622
202	666	2618
203	670	2614
204	672	2609
205	675	2603
206	677	2596
207	682	2596
208	684	2591
209	687	2584
210	689	2578
211	692	2574
212	695	2569
213	698	2566
214	700	2559
215	704	2556
216	707	2552
217	709	2546
218	712	2541
219	715	2536
220	718	2531
221	722	2530
222	728	2536
223	731	2533
224	734	2528
225	738	2528
226	741	2524
227	744	2521
228	747	2515
229	749	2510
230	752	2505
231	755	2500
232	758	2497
233	761	2493
234	764	2487
235	767	2485
236	770	2480
237	773	2476
238	776	2471
239	779	2466
240	782	2463
241	786	2462
242	789	2460
243	792	2456
244	796	2455
245	800	2453
246	804	2452
247	807	2448
248	813	2454
249	817	2451
250	820	2448
251	824	2447
252	828	2445
253	831	2443
254	834	2439
255	838	2437
256	842	2436
257	845	2432
258	847	2424
259	852	2425
260	854	2418
261	857	2415
262	860	2412
263	864	2408
264	867	2406
265	871	2405
266	875	2402
267	878	2398
268	882	2398
269	886	2396
270	890	2395
271	895	2395
272	899	2396
273	903	2395
274	907	2393
275	911	2390
276	915	2389
277	919	2389
278	924	2388
279	929	2388
280	933	2388
281	936	2385
282	941	2386
283	944	2381
284	947	2377
285	951	2374
286	953	2368
287	956	2365
288	962	2368
289	966	2366
290	971	2366
291	975	2365
292	979	2362
293	982	2359
294	985	2356
295	988	2351
296	992	2350
297	998	2351
298	1002	2349
299	1005	2346
300	1007	2340
301	1011	2337
302	1014	2334
303	1019	2334
304	1024	2333
305	1027	2331
306	1031	2327
307	1034	2324
308	1036	2318
309	1039	2314
310	1043	2312
311	1048	2313
312	1052	2309
313	1055	2307
314	1059	2304
315	1063	2301
316	1067	2299
317	1071	2298
318	1075	2295
319	1078	2292
320	1084	2293
321	1088	2292
322	1092	2290
323	1098	2291
324	1103	2292
325	1107	2290
326	1112	2288
327	1116	2286
328	1120	2285
329	1123	2281
330	1127	2278
331	1131	2276
332	1133	2270
333	1137	2268
334	1141	2266
335	1145	2263
336	1148	2260
337	1153	2258
338	1158	2259
339	1164	2260
340	1168	2258
341	1172	2256
342	1178	2257
343	1182	2254
344	1186	2253
345	1191	2251
346	1195	2250
347	1199	2247
348	1203	2245
349	1208	2244
350	1211	2240
351	1216	2238
352	1220	2236
353	1225	2235
354	1229	2234
355	1234	2234
356	1240	2233
357	1242	2228
358	1247	2227
359	1251	2225
360	1255	2222
361	1258	2218
362	1263	2217
363	1268	2215
364	1273	2215
365	1278	2215
366	1282	2212
367	1286	2208
368	1290	2206
369	1294	2203
370	1297	2199
371	1300	2194
372	1303	2190
373	1307	2187
374	1310	2183
375	1313	2180
376	1317	2177
377	1323	2177
378	1328	2176
379	1331	2172
380	1335	2168
381	1338	2164
382	1341	2161
383	1345	2157
384	1349	2156
385	1353	2152
386	1357	2150
387	1361	2147
388	1366	2146
389	1370	2143
390	1373	2139
391	1379	2139
392	1385	2139
393	1394	2144
394	1399	2143
395	1404	2142
396	1410	2141
397	1414	2139
398	1418	2137
399	1423	2135
400	1428	2133
401	1433	2132
402	1437	2129
403	1443	2128
404	1448	2128
405	1452	2125
406	1458	2125
407	1462	2122
408	1466	2119
409	1469	2115
410	1474	2113
411	1478	2110
412	1482	2107
413	1487	2104
414	1491	2102
415	1496	2101
416	1501	2099
417	1507	2098
418	1510	2094
419	1514	2091
420	1517	2087
421	1522	2084
422	1527	2083
423	1530	2079
424	1535	2077
425	1540	2075
426	1545	2074
427	1548	2069
428	1552	2066
429	1554	2061
430	1559	2058
431	1561	2053
432	1565	2050
433	1569	2046
434	1572	2043
435	1576	2039
436	1580	2036
437	1585	2033
438	1589	2031
439	1594	2028
440	1599	2027
441	1604	2025
442	1608	2021
443	1612	2019
444	1615	2015
445	1621	2013
446	1623	2008
447	1626	2004
448	1630	2001
449	1635	1999
450	1641	1997
451	1645	1994
452	1649	1992
453	1655	1990
454	1659	1988
455	1664	1985
456	1669	1983
457	1674	1981
458	1680	1980
459	1686	1980
460	1691	1977
461	1696	1975
462	1701	1973
463	1705	1970
464	1709	1966
465	1711	1961
466	1715	1957
467	1719	1954
468	1724	1952
469	1729	1949
470	1733	1947
471	1737	1944
472	1741	1940
473	1745	1936
474	1748	1933
475	1751	1928
476	1755	1925
477	1759	1921
478	1762	1917
479	1767	1914
480	1771	1911
481	1775	1908
482	1780	1906
483	1786	1904
484	1791	1902
485	1796	1900
486	1801	1897
487	1805	1894
488	1809	1890
489	1815	1889
490	1819	1886
491	1825	1884
492	1830	1882
493	1835	1880
494	1839	1877
495	1844	1873
496	1847	1869
497	1851	1866
498	1856	1864
499	1861	1861
500	1866	1859
501	1869	1854
502	1871	1849
503	1876	1846
504	1880	1843
505	1884	1839
506	1888	1836
507	1892	1833
508	1897	1830
509	1901	1826
510	1904	1822
511	1910	1820
512	1914	1817
513	1918	1813
514	1922	1810
515	1927	1808
516	1932	1805
517	1936	1801
518	1938	1796
519	1940	1791
520	1944	1787
521	1947	1783
522	1951	1779
523	1955	1776
524	1957	1771
525	1962	1768
526	1966	1764
527	1970	1761
528	1975	1758
529	1979	1755
530	1983	1752
531	1988	1748
532	1992	1746
533	1997	1742
534	2000	1738
535	2002	1733
536	2006	1729
537	2009	1725
538	2012	1721
539	2017	1718
540	2020	1714
541	2023	1710
542	2027	1706
543	2033	1704
544	2036	1700
545	2041	1697
546	2045	1694
547	2049	1690
548	2052	1686
549	2057	1683
550	2061	1679
551	2065	1676
552	2071	1674
553	2075	1670
554	2078	1666
555	2080	1661
556	2084	1657
557	2088	1654
558	2093	1651
559	2097	1647
560	2101	1644
561	2107	1642
562	2111	1639
563	2116	1636
564	2120	1632
565	2125	1629
566	2127	1624
567	2130	1620
568	2135	1617
569	2139	1614
570	2143	1610
571	2146	1606
572	2152	1603
573	2158	1601
574	2163	1599
575	2167	1595
576	2171	1591
577	2176	1589
578	2181	1586
579	2186	1583
580	2192	1581
581	2197	1578
582	2200	1573
583	2204	1570
584	2209	1567
585	2215	1565
586	2220	1562
587	2225	1559
588	2230	1556
589	2235	1553
590	2238	1549
591	2243	1546
592	2248	1542
593	2252	1539
594	2257	1536
595	2262	1533
596	2268	1531
597	2272	1527
598	2277	1524
599	2283	1522
600	2288	1519
601	2294	1516
602	2300	1514
603	2307	1512
604	2312	1510
605	2318	1507
606	2323	1504
607	2327	1500
608	2331	1496
609	2335	1493
610	2339	1489
611	2344	1486
612	2349	1483
613	2354	1480
614	2359	1477
615	2363	1473
616	2369	1470
617	2375	1468
618	2380	1465
619	2384	1461
620	2388	1457
621	2392	1454
622	2397	1450
623	2401	1447
624	2405	1443
625	2408	1439
626	2412	1435
627	2416	1431
628	2421	1427
629	2424	1424
630	2427	1419
631	2431	1416
632	2435	1412
633	2439	1408
634	2442	1403
635	2445	1399
636	2449	1395
637	2453	1391
638	2458	1388
639	2463	1385
640	2467	1381
641	2471	1378
642	2475	1374
643	2479	1370
644	2485	1367
645	2488	1363
646	2493	1360
647	2498	1357
648	2502	1353
649	2507	1350
650	2510	1346
651	2514	1342
652	2518	1338
653	2524	1335
654	2528	1332
655	2535	1329
656	2539	1325
657	2543	1322
658	2547	1318
659	2552	1314
660	2557	1311
661	2563	1308
662	2568	1305
663	2574	1302
664	2579	1299
665	2585	1296
666	2590	1293
667	2596	1290
668	2601	1287
669	2606	1283
670	2613	1281
671	2617	1277
672	2622	1274
673	2627	1270
674	2631	1267
675	2635	1263
676	2640	1259
677	2645	1256
678	2650	1253
679	2655	1249
680	2660	1246
681	2664	1242
682	2668	1238
683	2673	1235
684	2679	1232
685	2685	1229
686	2690	1225
687	2695	1222
688	2701	1219
689	2706	1215
690	2711	1212
691	2716	1209
692	2721	1205
693	2725	1201
694	2729	1197
695	2733	1193
696	2736	1189
697	2741	1186
698	2745	1182
699	2750	1178
700	2755	1175
701	2760	1171
702	2764	1168
703	2769	1164
704	2773	1160
705	2777	1156
706	2781	1152
707	2786	1149
708	2792	1146
709	2828	1155
710	2855	1160
711	2862	1157
712	2868	1154
713	2873	1151
714	2879	1147
715	2884	1144
716	2888	1140
717	2892	1135
718	2896	1131
719	2900	1127
720	2905	1124
721	2909	1120
722	2912	1116
723	2916	1111
724	2920	1107
725	2924	1103
726	2928	1099
727	2931	1095
728	2935	1091
729	2939	1087
730	2943	1083
731	2947	1079
732	2951	1075
733	2955	1071
734	2959	1067
735	2963	1063
736	2967	1059
737	2972	1055
738	2978	1052
739	2983	1048
740	2987	1044
741	2991	1040
742	2996	1036
743	3000	1032
744	3004	1028
745	3009	1024
746	3013	1020
747	3016	1016
748	3021	1012
749	3025	1008
750	3029	1004
751	3034	1000
752	3040	997
753	3046	993
754	3051	990
755	3057	986
756	3061	982
757	3066	978
758	3071	975
759	3075	971
760	3079	967
761	3084	963
762	3090	959
763	3093	955
764	3097	951
765	3101	947
766	3106	943
767	3111	939
768	3116	936
769	3121	932
770	3124	928
771	3128	923
772	3132	920
773	3138	916
774	3142	912
775	3147	908
776	3152	904
777	3156	900
778	3162	897
779	3167	893
780	3170	889
781	3174	884
782	3177	880
783	3181	876
784	3184	872
785	3188	868
786	3192	863
787	3196	859
788	3200	855
789	3204	851
790	3207	847
791	3212	843
792	3216	839
793	3220	835
794	3224	831
795	3227	827
796	3232	823
797	3238	819
798	3241	815
799	3246	811
800	3252	807
801	3257	804
802	3262	800
803	3266	796
804	3270	792
805	3275	788
806	3278	784
807	3282	779
808	3285	775
809	3288	771
810	3293	767
811	3298	763
812	3302	759
813	3308	755
814	3314	752
815	3319	748
816	3323	744
817	3328	740
818	3332	736
819	3337	732
820	3341	728
821	3345	724
822	3350	720
823	3354	716
824	3358	712
825	3362	708
826	3367	704
827	3374	700
828	3380	697
829	3387	693
830	3394	690
831	3400	686
832	3406	682
833	3410	678
834	3416	675
835	3421	671
836	3424	666
837	3431	663
838	3438	659
839	3441	655
840	3447	651
841	3453	648
842	3458	644
843	3464	640
844	3469	636
845	3475	632
846	3481	628
847	3486	625
848	3491	621
849	3496	617
850	3501	613
851	3505	608
852	3508	604
853	3514	600
854	3519	596
855	3522	592
856	3526	588
857	3531	584
858	3535	580
859	3539	576
860	3543	572
861	3547	567
862	3552	563
863	3557	560
864	3562	556
865	3567	552
866	3572	548
867	3577	544
868	3583	540
869	3588	536
870	3592	532
871	3597	528
872	3600	523
873	3606	519
874	3611	515
875	3617	512
876	3623	508
877	3629	504
878	3635	500
879	3638	496
880	3642	492
881	3647	487
882	3652	483
883	3656	479
884	3662	475
885	3668	471
886	3673	468
887	3678	463
888	3684	460
889	3689	455
890	3693	451
891	3697	447
892	3701	443
893	3706	439
894	3712	435
895	3715	431
896	3718	426
897	3722	422
898	3727	418
899	3730	414
900	3733	410
901	3736	405
902	3739	401
903	3743	397
904	3746	393
905	3749	389
906	3752	384
907	3755	380
908	3758	376
909	3762	372
910	3765	367
911	3768	363
912	3771	359
913	3774	355
914	3777	350
915	3780	346
916	3783	342
917	3786	338
918	3789	334
919	3793	329
920	3796	325
921	3799	321
922	3802	317
923	3805	312
924	3808	308
925	3811	304
926	3814	300
927	3817	296
928	3820	291
929	3823	287
930	3827	283
931	3829	279
932	3832	275
933	3835	271
934	3839	266
935	3844	262
936	3849	258
937	3854	254
938	3859	250
939	3863	246
940	3869	242
941	3875	238
942	3880	234
943	3885	230
